qv,nu,RT,RTerr,qvcenter
0.3,0.01334763,0.001905,0.0004949999999999999,0.3
0.3,0.01826885166666667,0.0115,0.00083,0.3
0.3,0.02336937,0.010360000000000001,0.0005200000000000005,0.3
0.3,0.02886151,0.010405000000000001,0.0004850000000000002,0.3
0.3,0.03337223666666667,0.012815,0.00046500000000000014,0.3
0.3,0.03792542833333333,0.015574999999999999,0.0008849999999999995,0.3
0.3,0.04311559500000001,0.018375000000000002,0.000874999999999999,0.3
0.3,0.04854167833333334,0.020499999999999997,0.0009600000000000008,0.3
0.3,0.05271740333333334,0.0217,0.0009100000000000011,0.3
0.3,0.058077430000000006,0.02244,0.0008199999999999995,0.3
0.3,0.06319682166666668,0.02252,0.0009500000000000012,0.3
0.3,0.06826903000000001,0.022345,0.001235,0.3
0.3,0.07307701166666668,0.021995,0.0011949999999999999,0.3
0.3,0.07839929166666668,0.020845000000000002,0.0012650000000000005,0.3
0.3,0.083344105,0.019625,0.0009249999999999987,0.3
0.3,0.08796335333333334,0.018500000000000003,0.0009600000000000008,0.3
0.3,0.09276661666666668,0.016800000000000002,0.0008199999999999995,0.3
0.3,0.09836256000000002,0.01537,0.0007900000000000008,0.3
0.3,0.10298652666666666,0.014195,0.0010149999999999994,0.3
0.3,0.10810120000000001,0.012539999999999999,0.0009500000000000003,0.3
0.3,0.11306488666666667,0.010790000000000001,0.0012500000000000002,0.3
0.3,0.11810406666666669,0.010069999999999999,0.0013499999999999996,0.3
0.3,0.12340747333333334,0.009265,0.001275,0.3
0.3,0.12812580666666668,0.00841,0.0013,0.3
0.3,0.13337259333333334,0.007895,0.0011449999999999998,0.3
0.3,0.13818529333333335,0.007495,0.0011850000000000003,0.3
0.3,0.14303574000000002,0.0076300000000000005,0.0012900000000000003,0.3
0.3,0.1484382316666667,0.007135000000000001,0.0012350000000000004,0.3
0.3,0.1532509316666667,0.006815,0.001225,0.3
0.3,0.1581485616666667,0.007065,0.001235,0.3
0.3,0.16343309500000003,0.006875000000000001,0.0011950000000000003,0.3
0.3,0.16789192000000003,0.00597,0.00169,0.3
0.3,0.17267159166666668,0.00484,0.00157,0.3
0.3,0.17807880166666668,0.005900000000000001,0.0016099999999999999,0.3
