qv,nu,RL ,RLerr,qvcenter
0.4,0.016110803200000003,0.006775,0.0005149999999999998,0.38
0.4,0.021312473,0.00477,0.0005,0.38
0.4,0.0265618208,0.007145,0.0005049999999999998,0.38
0.4,0.0317158126,0.007175,0.00047499999999999973,0.38
0.4,0.0365598974,0.008365000000000001,0.0004750000000000006,0.38
0.4,0.04141828559999999,0.008844999999999999,0.0003150000000000002,0.38
0.4,0.0468392742,0.00998,0.0004999999999999996,0.38
0.4,0.051468808000000005,0.010835000000000001,0.0008349999999999998,0.38
0.4,0.057047134,0.011555,0.0007549999999999996,0.38
0.4,0.0621057698,0.012745,0.0007549999999999996,0.38
0.4,0.06656843059999999,0.014374999999999999,0.0007549999999999996,0.38
0.4,0.07192743780000001,0.01516,0.0008599999999999997,0.38
0.4,0.07673338019999999,0.014794999999999999,0.000895,0.38
0.4,0.0819541212,0.015095,0.0008750000000000008,0.38
0.4,0.0867219212,0.016325,0.000895,0.38
0.4,0.0913705262,0.016335,0.0009049999999999996,0.38
0.4,0.09680105039999999,0.016995,0.0008650000000000012,0.38
0.4,0.10175956239999999,0.01629,0.0012300000000000002,0.38
0.4,0.106703771,0.015915,0.0008949999999999991,0.38
0.4,0.11177194239999999,0.01667,0.0012100000000000001,0.38
0.4,0.11679720359999998,0.016155000000000003,0.0011750000000000007,0.38
0.4,0.1218129292,0.015915,0.001215,0.38
0.4,0.1265711936,0.01434,0.0013000000000000008,0.38
0.4,0.1316822752,0.013059999999999999,0.0012900000000000003,0.38
0.4,0.1372081554,0.01272,0.0013100000000000004,0.38
0.4,0.14202840120000002,0.011529999999999999,0.0012500000000000002,0.38
0.4,0.14742078300000003,0.0108,0.0012100000000000001,0.38
0.4,0.1521599762,0.009955,0.0008450000000000003,0.38
0.4,0.1570565068,0.008664999999999999,0.0008449999999999994,0.38
0.4,0.16193873400000003,0.007945,0.0008749999999999999,0.38
0.4,0.1671737784,0.007554999999999999,0.0008849999999999999,0.38
0.4,0.17241359059999997,0.0070799999999999995,0.0008800000000000001,0.38
0.4,0.17956529059999998,0.005625,0.001035,0.38
0.4,0.1842234312,0.005255,0.001045,0.38
0.4,0.1895299926,0.00494,0.00106,0.38
0.4,0.1949176066,0.00432,0.0013499999999999999,0.38
0.4,0.19956621160000002,0.0045249999999999995,0.00022499999999999994,0.38
0.4,0.2046439186,0.004725,0.001185,0.38
0.4,0.20997431900000002,0.0035050000000000003,0.001685,0.38
0.4,0.2150710972,0.00307,0.0012900000000000001,0.38
0.4,0.21993425319999999,0.0029300000000000003,0.00143,0.38
0.4,0.2252455824,0.002575,0.0015450000000000001,0.38
0.4,0.23011350619999998,0.002665,0.000965,0.38
0.4,0.2349718944,0.003065,0.0012649999999999998,0.38
0.4,0.2398350504,0.003075,0.0021249999999999997,0.38
0.4,0.2447840268,0.0026899999999999997,0.0017,0.38
0.4,0.24993801859999998,0.0029,0.00226,0.38
0.4,0.2550920104,0.00296,0.0016899999999999997,0.38
0.4,0.2599360952,0.004025,0.0014349999999999999,0.38
0.4,0.2650948548,0.00385,0.00279,0.38
0.4,0.2701153482,0.00355,0.00309,0.38
0.4,0.2752168942,0.00274,0.00265,0.38
0.4,0.2800705146,0.003175,0.003025,0.38
0.4,0.2850767046,0.003355,0.003205,0.38
