A,Z,nu,E0,ThetaDeg,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,Ep,Veff,Ffoc2,E0original,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex
12,6,0.0125,0.1628928688459899,36.0,410600.0,183934.7378,1,0.95971,0.0062926,394056.926,176542.91501884355,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.012063800690715793,0.1503928688459899,0.002892868845989906,1.0364877625342526,0.16,0.009357375024760353,0.009513625024760353,0.09753781330725204,0.8944556725042397,0.8232679631802428,0.001550723596733312,254111646.22122437,118612200.2576533,0.05158386645157448,16.497240776087086,6500851.987706731,2912470.976378143,16.695433178300252,7.479783367135749,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,0.0,0.01225587798858973,0.012703185199181965,0.8233482500631347,0.0,0.0,0.0,0.0,0.0,0.012246141524000616,0.012686249730647248,0.8233167243232382,0.0,0.0,0.006385044,0.0008980095,1.0,0.0070353,0.001043928,0.006370081,0.000889111,1.110006626219262,0.0,0.0,0.006385045,0.0008980096,1.0,0.006902242,0.001024713,0.006370513,0.0008892033,1.0889649788434623
12,6,0.0175,0.1628928688459899,36.0,409000.0,148404.5134,1,0.95971,0.0062926,392521.38999999996,142448.5472327866,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.017063800690715794,0.14539286884598993,0.002892868845989906,1.0364877625342526,0.16,0.009046277327889407,0.009352527327889406,0.09670846564747786,0.9041495002011106,0.8208201494706338,0.0025811462340842826,152072511.35821655,57495585.27149846,0.05158386645157448,17.007962674358733,6675989.150007406,2422759.5743518616,17.14521895957283,6.222110679826082,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,2.0,0.01711382305200735,0.017561130262599586,0.8212491939415918,0.0,0.0,0.0,0.0,3.0,0.017381552138923548,0.017814663507866868,0.820973430429781,0.0,0.0,0.01402788,0.003724103,1.0,0.01533508,0.004156508,0.01397272,0.003703394,1.1010794458110644,0.0,0.0,0.01402788,0.003724103,1.0,0.01545911,0.004209863,0.0139744,0.003703948,1.110593015603118
12,6,0.0225,0.1628928688459899,36.0,790800.0,149876.0602,1,0.95971,0.0062926,758938.668,143923.60581970142,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02206380069071579,0.14039286884598992,0.002892868845989906,1.0364877625342526,0.16,0.00873517963101846,0.00924142963101846,0.09613235475644223,0.9138433278979816,0.8174057553031835,0.003564823492224392,212896562.6644349,42043052.209151536,0.05158386645157448,17.73611275499604,13460621.789774504,2552645.3009238285,34.56945521210515,6.55568210598652,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,4.0,0.02205411436885787,0.022501421579450107,0.8184403008935957,0.0,0.0,0.0,0.0,6.0,0.022115861207807834,0.022540442012687123,0.8180310105209977,0.0,0.0,0.02583712,0.007387266,1.0,0.02989449,0.008207145,0.02574183,0.007353556,1.1542958981379288,0.0,0.0,0.02583712,0.007387267,1.0,0.02842995,0.007917559,0.02574919,0.007355085,1.0998086361833457
12,6,0.0275,0.1628928688459899,36.0,542100.0,124896.7408,1,0.95971,0.0062926,520258.79099999997,119913.18108474702,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.027063800690715793,0.13539286884598992,0.002892868845989906,1.0364877625342526,0.16,0.008424081934147514,0.009180331934147514,0.09581404873058812,0.9235371555948525,0.8129415973887951,0.00448706445658712,115946360.03863224,27834844.36392451,0.05158386645157448,18.71617336239198,9737253.725664455,2244315.885618028,25.0071327918872,5.763833105289875,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,7.0,0.02762564193997722,0.028072949150569456,0.8144743142836383,0.0,0.0,0.0,0.0,8.0,0.026885339568424357,0.027299311102391144,0.8142338270197543,0.0,0.0,0.02249696,0.0081608,1.0,0.02667322,0.00915533,0.0226301,0.008183581,1.166564462800365,0.0,0.0,0.02249696,0.0081608,1.0,0.02608895,0.0089214,0.02264224,0.008186345,1.1397167444595329
12,6,0.0175,0.20289286884598992,36.0,435600.0,80146.91932,1,0.95971,0.0062926,418049.676,76966.62483678789,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.016818902788826293,0.1853928688459899,0.002892868845989906,1.0291379057139014,0.2,0.014367609887949644,0.014673859887949644,0.1211357085584166,0.8988281676410504,0.8226077272195119,0.0013046560026341058,320429044.25071126,61431457.14899793,0.03301367452900766,25.990737342147735,10865419.32488596,2000419.3302445782,27.90447815699897,5.137460031367378,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,2.0,0.01711382305200735,0.017561130262599586,0.8212491939415918,0.0,0.0,0.0,0.0,2.0,0.016874826332471934,0.017308732566903018,0.8212427617096748,0.0,0.0,0.01879717,0.005792588,1.0,0.01533508,0.004156508,0.01869629,0.005753048,0.8044890040264884,0.0,0.0,0.01879717,0.005792589,1.0,0.01448383,0.003856991,0.01869751,0.005753779,0.7578389441962663
12,6,0.0225,0.20289286884598992,36.0,601100.0,78988.42659,1,0.95971,0.0062926,576881.681,75900.29123680457,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02181890278882629,0.18039286884598993,0.002892868845989906,1.0291379057139014,0.2,0.013980118988828678,0.014486368988828678,0.12035933278657156,0.9085983885401714,0.8204847794322659,0.001971127921413276,292665775.129593,40072704.43075364,0.03301367452900766,26.685418257248962,15394328.94242987,2025431.017501138,39.53558559233976,5.201694835368159,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,4.0,0.02205411436885787,0.022501421579450107,0.8184403008935957,0.0,0.0,0.0,0.0,5.0,0.021685421774156437,0.022110860575580205,0.8183313241214539,0.0,0.0,0.03756668,0.01036734,1.0,0.02989449,0.008207145,0.03737026,0.01032213,0.7991793129216577,0.0,0.0,0.03756668,0.01036734,1.0,0.02741058,0.007594588,0.03737343,0.01032355,0.7337184038993593
12,6,0.0275,0.20289286884598992,36.0,650100.0,75208.59602,1,0.95971,0.0062926,623907.471,72294.27533690631,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02681890278882629,0.17539286884598992,0.002892868845989906,1.0291379057139014,0.2,0.013592628089707709,0.014348878089707709,0.1197868026524947,0.9183686094392923,0.8177329783420475,0.0026129742469223954,238772912.4138321,28782754.40662377,0.03301367452900766,27.602388892618414,17221336.647552047,1995494.7025593203,44.22769135244448,5.12481264413218,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,6.0,0.02637748002083537,0.026824787231427605,0.815435205644898,0.0,0.0,0.0,0.0,8.0,0.026885339568424357,0.027299311102391144,0.8142338270197543,0.0,0.0,0.03701481,0.01145511,1.0,0.02983352,0.009629268,0.03722527,0.01148737,0.8078217525325815,0.0,0.0,0.03701481,0.01145511,1.0,0.02608895,0.0089214,0.03723087,0.01148912,0.7138610681458902
12,6,0.0325,0.20289286884598992,36.0,455800.0,61743.22572,1,0.95971,0.0062926,437435.81799999997,59324.96494407013,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.03181890278882629,0.17039286884598992,0.002892868845989906,1.0291379057139014,0.2,0.013205137190586741,0.014261387190586741,0.11942105003133552,0.9281388303384134,0.8143092416623663,0.0032240193808821273,135680269.35381284,19151009.477835823,0.03301367452900766,28.769559021895933,12584835.584242327,1706753.0804303328,32.32026847464528,4.383268848462854,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,9.0,0.031306656792668905,0.03175396400326114,0.8114013370010658,0.0,0.0,0.0,0.0,10.0,0.031120947837544877,0.03152380388463172,0.8100816673910446,0.0,0.0,0.02477796,0.009055053,0.0,0.01894281,0.007457597,0.02488902,0.009085263,1.0,0.0,0.0,0.02477796,0.009055053,0.0,0.01654265,0.006791407,0.02489862,0.009087957,1.0
12,6,0.0375,0.20289286884598992,36.0,375600.0,55453.98972,1,0.95971,0.0062926,360467.076,53272.20440860536,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.03681890278882629,0.16539286884598992,0.002892868845989906,1.0291379057139014,0.2,0.012817646291465774,0.014223896291465773,0.11926397734213702,0.9379090512375343,0.8101686979450892,0.0037985420001934267,94896166.99819155,14598756.501093369,0.03301367452900766,30.22053738132133,10893508.744993595,1609914.644715649,27.976617168517926,4.134569195613818,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,10.0,0.03460712150657453,0.03505442871716676,0.8083476670289037,0.0,0.0,0.0,0.0,12.0,0.03676638070102435,0.03715194756415663,0.8032411706220828,0.0,0.0,0.02044712,0.007160623,0.0,0.01607678,0.006085285,0.02051258,0.007201132,1.0,0.0,0.0,0.02044712,0.007160623,0.0,0.01170582,0.00391375,0.02052665,0.007206278,1.0
12,6,0.0425,0.20289286884598992,36.0,276200.0,48680.24655,1,0.95971,0.0062926,265071.902,46751.23668395145,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.041818902788826294,0.1603928688459899,0.002892868845989906,1.0291379057139014,0.2,0.012430155392344806,0.014236405392344807,0.11931640873050449,0.9476792721366553,0.8052647581999601,0.004331489955725948,61196471.585855156,11238683.928066803,0.03301367452900766,31.995758084317245,8481176.451341849,1495841.2590823686,21.781285742932575,3.8416068899245985,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,12.0,0.04403820831571362,0.04448551552630585,0.7981288575951627,0.0,0.0,0.0,0.0,13.0,0.04007837109730729,0.04045248081264674,0.7984300237126846,0.0,0.0,0.01647365,0.004932676,0.0,0.01115917,0.002304048,0.01655615,0.004979394,1.0,0.0,0.0,0.01647365,0.004932677,0.0,0.009717089,0.00224002,0.01657339,0.004987165,1.0
